Ticket #,Date,Supplier/Material,Net,Price
10749,08/07/2025,[STS,Electronic,Recycling]
10904,08/12/2025,[STS,Electronic,Recycling]
10979,08/15/2025,[STS,Electronic,Recycling]
11224,08/22/2025,[Cherokee County,Solid,Waste]
15884,01/08/2026,[Cherokee County,Solid,Waste]
16251,01/19/2026,[Dowling Heating & Air Conditioning] Ferrous,TIN/#2,LIGHT
16767,02/05/2026,[STS,Electronic,Recycling]
10902,08/12/2025,[Dowling Heating & Air,Conditioning],Other
12492,10/01/2025,[Dowling Heating & Air,Conditioning],Other
14012,11/13/2025,[Dowling Heating & Air,Conditioning],Other
12755,10/08/2025,[Jasper,Ventures,Inc]
16064,01/13/2026,[Jasper,Ventures,Inc]
11905,09/12/2025,[Black Label,Pro,Diesel]
12306,09/25/2025,[Jasper,Ventures,Inc]
13723,11/10/2025,[Rush,Truck,Center]
14704,12/08/2025,[Crest,Process,Systems]
10410,07/28/2025,[Four,Seasons,Containers]
10497,07/30/2025,[Overhead,Door,Systems]
12075,09/18/2025,[Southern,Tire,Mart]
13474,10/29/2025,[Impressive,Image,Works]
13571,10/31/2025,[Four,Seasons,Containers]
13971,11/12/2025,[Overhead,Door,Systems]
14292,11/21/2025,[Becker Iron,&,Metal]
14308,11/21/2025,[Benjamin,Franklin,Plumbing]
14884,12/12/2025,[Trident,Solution,Services]
16014,01/12/2026,[Crowded,6,Ranch]
16525,01/29/2026,[Texas,Metal,Carports]
16551,01/30/2026,[Future,Infrastructure,]
16610,02/02/2026,[Becker Iron,&,Metal]
16684,02/03/2026,[Future,Infrastructure,]
16768,02/05/2026,[Keith,Hodges,Collision]
16916,02/09/2026,[Becker Iron,&,Metal]
17182,02/16/2026,[Tyler,Sheet,Metal]
17183,02/16/2026,[Future,Infrastructure,]
15073,12/17/2025,[Rush,Truck,Center]
14549,12/01/2025,[Wilders,Seamless,Gutters]
11420,08/27/2025,[Rush,Truck,Leasing]
10013,07/16/2025,[Stone,Water,Roofing]
10014,07/17/2025,[Four,Seasons,Containers]
10050,07/17/2025,[Eagle,Business,Machines]
10220,07/22/2025,[TNT Demolition,(Norman,Ward)]
10684,08/05/2025,[Benjamin,Franklin,Plumbing]
10812,08/08/2025,[Stone,Water,Roofing]
11855,09/11/2025,[Wilders,Seamless,Gutters]
12379,09/26/2025,[Four,Seasons,Containers]
13509,10/30/2025,[Stone,Water,Roofing]
15577,12/31/2025,[Eagle,Business,Machines]
16769,02/06/2026,[Jasper,Ventures,Inc]
10913,08/13/2025,[Joe Tex,Xpress,Mineola]
11579,09/03/2025,[Joe Tex,Xpress,Mineola]
15194,12/19/2025,[EQ,Autoworks,Mineola]
16021,01/12/2026,[Nexgen,Comfort,Services]
16550,01/30/2026,[Joe Tex,Xpress,Mineola]
13219,10/31/2025,[Drive,On,Manufacturing]
12400,09/29/2025,[City of,Big,Sandy]
16608,02/02/2026,[Pinnacle,Gas,Treating]
13495,10/30/2025,[Pinnacle,Gas,Treating]
13214,10/22/2025,[ASAP,INDUSTRIES,LLC]
11201,08/21/2025,[Houston,County,Co-Op]
15640,01/14/2026,[Houston,County,Co-Op]
12187,09/29/2025,[Houston,County,Co-Op]
16609,02/09/2026,[Houston,County,Co-Op]
10051,07/17/2025,[Vulcraft Division Of,Nucore],Other
14253,11/20/2025,[Pinnacle,Gas,Treating]
10185,07/21/2025,[Pichy's Buildings,and,Carports]
10198,07/22/2025,[Becker Iron,&,Metal]
11161,08/18/2025,[Star Buildings,&,Carports]
11550,09/02/2025,[Pichy's Buildings,and,Carports]
12320,09/25/2025,[Tejas Carports,&,Roofing]
13090,10/17/2025,[Pichy's Buildings,and,Carports]
13183,10/21/2025,[Star Buildings,&,Carports]
13864,11/10/2025,[Tejas Carports,&,Roofing]
14231,11/19/2025,[Star Buildings,&,Carports]
16489,01/28/2026,[Star Buildings,&,Carports]
16498,01/28/2026,[Pichy's Buildings,and,Carports]
16664,02/03/2026,[Star Buildings,&,Carports]
10095,07/18/2025,[Tejas Carports,&,Roofing]
10931,08/13/2025,[Pichy's Buildings,and,Carports]
11774,09/09/2025,[Star Buildings,&,Carports]
12044,09/17/2025,[Pichy's Buildings,and,Carports]
12579,10/03/2025,[Pichy's Buildings,and,Carports]
15499,12/30/2025,[Star Buildings,&,Carports]
